pathway,pVal
Neutrophil degranulation,9.850557215251854e-6
Interleukin-10 signaling,4.075153559857103e-5
Immune System,1.1102910371973973e-4
Cytokine Signaling in Immune system,0.001147746217634138
Signaling by Interleukins,0.0013917701209106292
Cargo concentration in the ER,0.0014635295231438805
Interleukin-4 and 13 signaling,0.001834060124114134
Transport of glycerol from adipocytes to the liver by Aquaporins,0.004423341790323776
Chemokine receptors bind chemokines,0.005199273198333798
"Activation, myristolyation of BID and translocation to mitochondria",0.007697913566128367
IRAK4 deficiency (TLR5),0.011775061014711041
Interferon gamma signaling,0.013623735168063589
Downregulation of ERBB2:ERBB3 signaling,0.015767974117556705
Interleukin-38 signaling,0.016600490851601202
GRB7 events in ERBB2 signaling,0.016600490851601202
Interleukin-36 pathway,0.0221225431891231
PTK6 Activates STAT3,0.0221225431891231
Intrinsic Pathway for Apoptosis,0.022803148235860382
Nitric oxide stimulates guanylate cyclase,0.030765450604677058
Downregulation of ERBB2 signaling,0.030765450604677058
Interleukin-1 family signaling,0.031409862827943225
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,0.031712700557757545
"Formation of the ternary complex, and subsequently, the 43S complex",0.0326172367869797
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,0.034851205999929746
COPII (Coat Protein 2) Mediated Vesicle Transport,0.03916116738537445
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,0.03935999105277932
Smooth Muscle Contraction,0.03935999105277932
RA biosynthesis pathway,0.03935999105277932
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),0.04858537764025139
Translocation of ZAP-70 to Immunological synapse,0.04918857043125824
